hwt10
Partitioned - Decimal
     0: 0000000000 0
     1: 0000000010 3
     2: 0000000020 6
     3: 0000000100 9
     4: 0000001100 36
     5: 0000001200 45
     6: 0000000200 18
     7: 0000002100 63
     8: 0000002200 72
     9: 0000001000 27
    10: 0000010100 90
    11: 0000010200 99
    12: 0000011000 108
    13: 0000111000 351
    14: 0000112000 378
    15: 0000012000 135
    16: 0000121000 432
    17: 0000122000 459
    18: 0000002000 54
    19: 0000020100 171
    20: 0000020200 180
    21: 0000021000 189
    22: 0000211000 594
    23: 0000212000 621
    24: 0000022000 216
    25: 0000221000 675
    26: 0000222000 702
    27: 0000010000 81
    28: 0000100100 252
    29: 0000100200 261
    30: 0000101000 270
    31: 0001011000 837
    32: 0001012000 864
    33: 0000102000 297
    34: 0001021000 918
    35: 0001022000 945
    36: 0000110000 324
    37: 0001101000 999
    38: 0001102000 1026
    39: 0001110000 1053
    40: 0011110000 3240
    41: 0011120000 3321
    42: 0001120000 1134
    43: 0011210000 3483
    44: 0011220000 3564
    45: 0000120000 405
    46: 0001201000 1242
    47: 0001202000 1269
    48: 0001210000 1296
    49: 0012110000 3969
    50: 0012120000 4050
    51: 0001220000 1377
    52: 0012210000 4212
    53: 0012220000 4293
    54: 0000020000 162
    55: 0000200100 495
    56: 0000200200 504
    57: 0000201000 513
    58: 0002011000 1566
    59: 0002012000 1593
    60: 0000202000 540
    61: 0002021000 1647
    62: 0002022000 1674
    63: 0000210000 567
    64: 0002101000 1728
    65: 0002102000 1755
    66: 0002110000 1782
    67: 0021110000 5427
    68: 0021120000 5508
    69: 0002120000 1863
    70: 0021210000 5670
    71: 0021220000 5751
    72: 0000220000 648
    73: 0002201000 1971
    74: 0002202000 1998
    75: 0002210000 2025
    76: 0022110000 6156
    77: 0022120000 6237
    78: 0002220000 2106
    79: 0022210000 6399
    80: 0022220000 6480
    81: 0000100000 243
    82: 0001000100 738
    83: 0001000200 747
    84: 0001001000 756
    85: 0010011000 2295
    86: 0010012000 2322
    87: 0001002000 783
    88: 0010021000 2376
    89: 0010022000 2403
    90: 0001010000 810
    91: 0010101000 2457
    92: 0010102000 2484
    93: 0010110000 2511
    94: 0101110000 7614
    95: 0101120000 7695
    96: 0010120000 2592
    97: 0101210000 7857
    98: 0101220000 7938
    99: 0001020000 891
   100: 0010201000 2700
   101: 0010202000 2727
   102: 0010210000 2754
   103: 0102110000 8343
   104: 0102120000 8424
   105: 0010220000 2835
   106: 0102210000 8586
   107: 0102220000 8667
   108: 0001100000 972
   109: 0011001000 2943
   110: 0011002000 2970
   111: 0011010000 2997
   112: 0110110000 9072
   113: 0110120000 9153
   114: 0011020000 3078
   115: 0110210000 9315
   116: 0110220000 9396
   117: 0011100000 3159
   118: 0111010000 9558
   119: 0111020000 9639
   120: 0111100000 9720
   121: 1111100000 29403
   122: 1111200000 29646
   123: 0111200000 9963
   124: 1112100000 30132
   125: 1112200000 30375
   126: 0011200000 3402
   127: 0112010000 10287
   128: 0112020000 10368
   129: 0112100000 10449
   130: 1121100000 31590
   131: 1121200000 31833
   132: 0112200000 10692
   133: 1122100000 32319
   134: 1122200000 32562
   135: 0001200000 1215
   136: 0012001000 3672
   137: 0012002000 3699
   138: 0012010000 3726
   139: 0120110000 11259
   140: 0120120000 11340
   141: 0012020000 3807
   142: 0120210000 11502
   143: 0120220000 11583
   144: 0012100000 3888
   145: 0121010000 11745
   146: 0121020000 11826
   147: 0121100000 11907
   148: 1211100000 35964
   149: 1211200000 36207
   150: 0121200000 12150
   151: 1212100000 36693
   152: 1212200000 36936
   153: 0012200000 4131
   154: 0122010000 12474
   155: 0122020000 12555
   156: 0122100000 12636
   157: 1221100000 38151
   158: 1221200000 38394
   159: 0122200000 12879
   160: 1222100000 38880
   161: 1222200000 39123
   162: 0000200000 486
   163: 0002000100 1467
   164: 0002000200 1476
   165: 0002001000 1485
   166: 0020011000 4482
   167: 0020012000 4509
   168: 0002002000 1512
   169: 0020021000 4563
   170: 0020022000 4590
   171: 0002010000 1539
   172: 0020101000 4644
   173: 0020102000 4671
   174: 0020110000 4698
   175: 0201110000 14175
   176: 0201120000 14256
   177: 0020120000 4779
   178: 0201210000 14418
   179: 0201220000 14499
   180: 0002020000 1620
   181: 0020201000 4887
   182: 0020202000 4914
   183: 0020210000 4941
   184: 0202110000 14904
   185: 0202120000 14985
   186: 0020220000 5022
   187: 0202210000 15147
   188: 0202220000 15228
   189: 0002100000 1701
   190: 0021001000 5130
   191: 0021002000 5157
   192: 0021010000 5184
   193: 0210110000 15633
   194: 0210120000 15714
   195: 0021020000 5265
   196: 0210210000 15876
   197: 0210220000 15957
   198: 0021100000 5346
   199: 0211010000 16119
   200: 0211020000 16200
   201: 0211100000 16281
   202: 2111100000 49086
   203: 2111200000 49329
   204: 0211200000 16524
   205: 2112100000 49815
   206: 2112200000 50058
   207: 0021200000 5589
   208: 0212010000 16848
   209: 0212020000 16929
   210: 0212100000 17010
   211: 2121100000 51273
   212: 2121200000 51516
   213: 0212200000 17253
   214: 2122100000 52002
   215: 2122200000 52245
   216: 0002200000 1944
   217: 0022001000 5859
   218: 0022002000 5886
   219: 0022010000 5913
   220: 0220110000 17820
   221: 0220120000 17901
   222: 0022020000 5994
   223: 0220210000 18063
   224: 0220220000 18144
   225: 0022100000 6075
   226: 0221010000 18306
   227: 0221020000 18387
   228: 0221100000 18468
   229: 2211100000 55647
   230: 2211200000 55890
   231: 0221200000 18711
   232: 2212100000 56376
   233: 2212200000 56619
   234: 0022200000 6318
   235: 0222010000 19035
   236: 0222020000 19116
   237: 0222100000 19197
   238: 2221100000 57834
   239: 2221200000 58077
   240: 0222200000 19440
   241: 2222100000 58563
   242: 2222200000 58806
   243: 0001000000 729
   244: 0010000100 2196
   245: 0010000200 2205
   246: 0010001000 2214
   247: 0100011000 6669
   248: 0100012000 6696
   249: 0010002000 2241
   250: 0100021000 6750
   251: 0100022000 6777
   252: 0010010000 2268
   253: 0100101000 6831
   254: 0100102000 6858
   255: 0100110000 6885
   256: 1001110000 20736
   257: 1001120000 20817
   258: 0100120000 6966
   259: 1001210000 20979
   260: 1001220000 21060
   261: 0010020000 2349
   262: 0100201000 7074
   263: 0100202000 7101
   264: 0100210000 7128
   265: 1002110000 21465
   266: 1002120000 21546
   267: 0100220000 7209
   268: 1002210000 21708
   269: 1002220000 21789
   270: 0010100000 2430
   271: 0101001000 7317
   272: 0101002000 7344
   273: 0101010000 7371
   274: 1010110000 22194
   275: 1010120000 22275
   276: 0101020000 7452
   277: 1010210000 22437
   278: 1010220000 22518
   279: 0101100000 7533
   280: 1011010000 22680
   281: 1011020000 22761
   282: 1011100000 22842
   283: 0111100001 9721
   284: 0111200001 9964
   285: 1011200000 23085
   286: 0112100001 10450
   287: 0112200001 10693
   288: 0101200000 7776
   289: 1012010000 23409
   290: 1012020000 23490
   291: 1012100000 23571
   292: 0121100001 11908
   293: 0121200001 12151
   294: 1012200000 23814
   295: 0122100001 12637
   296: 0122200001 12880
   297: 0010200000 2673
   298: 0102001000 8046
   299: 0102002000 8073
   300: 0102010000 8100
   301: 1020110000 24381
   302: 1020120000 24462
   303: 0102020000 8181
   304: 1020210000 24624
   305: 1020220000 24705
   306: 0102100000 8262
   307: 1021010000 24867
   308: 1021020000 24948
   309: 1021100000 25029
   310: 0211100001 16282
   311: 0211200001 16525
   312: 1021200000 25272
   313: 0212100001 17011
   314: 0212200001 17254
   315: 0102200000 8505
   316: 1022010000 25596
   317: 1022020000 25677
   318: 1022100000 25758
   319: 0221100001 18469
   320: 0221200001 18712
   321: 1022200000 26001
   322: 0222100001 19198
   323: 0222200001 19441
   324: 0011000000 2916
   325: 0110001000 8775
   326: 0110002000 8802
   327: 0110010000 8829
   328: 1100110000 26568
   329: 1100120000 26649
   330: 0110020000 8910
   331: 1100210000 26811
   332: 1100220000 26892
   333: 0110100000 8991
   334: 1101010000 27054
   335: 1101020000 27135
   336: 1101100000 27216
   337: 1011100001 22843
   338: 1011200001 23086
   339: 1101200000 27459
   340: 1012100001 23572
   341: 1012200001 23815
   342: 0110200000 9234
   343: 1102010000 27783
   344: 1102020000 27864
   345: 1102100000 27945
   346: 1021100001 25030
   347: 1021200001 25273
   348: 1102200000 28188
   349: 1022100001 25759
   350: 1022200001 26002
   351: 0111000000 9477
   352: 1110010000 28512
   353: 1110020000 28593
   354: 1110100000 28674
   355: 1101100001 27217
   356: 1101200001 27460
   357: 1110200000 28917
   358: 1102100001 27946
   359: 1102200001 28189
   360: 1111000000 29160
   361: 1110100001 28675
   362: 1110200001 28918
   363: 1111000001 29161
   364: 1111000011 29164
   365: 1112000011 29893
   366: 1112000001 29890
   367: 1121000011 31351
   368: 1122000011 32080
   369: 1112000000 29889
   370: 1120100001 30862
   371: 1120200001 31105
   372: 1121000001 31348
   373: 1211000011 35725
   374: 1212000011 36454
   375: 1122000001 32077
   376: 1221000011 37912
   377: 1222000011 38641
   378: 0112000000 10206
   379: 1120010000 30699
   380: 1120020000 30780
   381: 1120100000 30861
   382: 1201100001 33778
   383: 1201200001 34021
   384: 1120200000 31104
   385: 1202100001 34507
   386: 1202200001 34750
   387: 1121000000 31347
   388: 1210100001 35236
   389: 1210200001 35479
   390: 1211000001 35722
   391: 2111000011 48847
   392: 2112000011 49576
   393: 1212000001 36451
   394: 2121000011 51034
   395: 2122000011 51763
   396: 1122000000 32076
   397: 1220100001 37423
   398: 1220200001 37666
   399: 1221000001 37909
   400: 2211000011 55408
   401: 2212000011 56137
   402: 1222000001 38638
   403: 2221000011 57595
   404: 2222000011 58324
   405: 0012000000 3645
   406: 0120001000 10962
   407: 0120002000 10989
   408: 0120010000 11016
   409: 1200110000 33129
   410: 1200120000 33210
   411: 0120020000 11097
   412: 1200210000 33372
   413: 1200220000 33453
   414: 0120100000 11178
   415: 1201010000 33615
   416: 1201020000 33696
   417: 1201100000 33777
   418: 2011100001 42526
   419: 2011200001 42769
   420: 1201200000 34020
   421: 2012100001 43255
   422: 2012200001 43498
   423: 0120200000 11421
   424: 1202010000 34344
   425: 1202020000 34425
   426: 1202100000 34506
   427: 2021100001 44713
   428: 2021200001 44956
   429: 1202200000 34749
   430: 2022100001 45442
   431: 2022200001 45685
   432: 0121000000 11664
   433: 1210010000 35073
   434: 1210020000 35154
   435: 1210100000 35235
   436: 2101100001 46900
   437: 2101200001 47143
   438: 1210200000 35478
   439: 2102100001 47629
   440: 2102200001 47872
   441: 1211000000 35721
   442: 2110100001 48358
   443: 2110200001 48601
   444: 2111000001 48844
   445: 1111000012 29165
   446: 1112000012 29894
   447: 2112000001 49573
   448: 1121000012 31352
   449: 1122000012 32081
   450: 1212000000 36450
   451: 2120100001 50545
   452: 2120200001 50788
   453: 2121000001 51031
   454: 1211000012 35726
   455: 1212000012 36455
   456: 2122000001 51760
   457: 1221000012 37913
   458: 1222000012 38642
   459: 0122000000 12393
   460: 1220010000 37260
   461: 1220020000 37341
   462: 1220100000 37422
   463: 2201100001 53461
   464: 2201200001 53704
   465: 1220200000 37665
   466: 2202100001 54190
   467: 2202200001 54433
   468: 1221000000 37908
   469: 2210100001 54919
   470: 2210200001 55162
   471: 2211000001 55405
   472: 2111000012 48848
   473: 2112000012 49577
   474: 2212000001 56134
   475: 2121000012 51035
   476: 2122000012 51764
   477: 1222000000 38637
   478: 2220100001 57106
   479: 2220200001 57349
   480: 2221000001 57592
   481: 2211000012 55409
   482: 2212000012 56138
   483: 2222000001 58321
   484: 2221000012 57596
   485: 2222000012 58325
   486: 0002000000 1458
   487: 0020000100 4383
   488: 0020000200 4392
   489: 0020001000 4401
   490: 0200011000 13230
   491: 0200012000 13257
   492: 0020002000 4428
   493: 0200021000 13311
   494: 0200022000 13338
   495: 0020010000 4455
   496: 0200101000 13392
   497: 0200102000 13419
   498: 0200110000 13446
   499: 2001110000 40419
   500: 2001120000 40500
   501: 0200120000 13527
   502: 2001210000 40662
   503: 2001220000 40743
   504: 0020020000 4536
   505: 0200201000 13635
   506: 0200202000 13662
   507: 0200210000 13689
   508: 2002110000 41148
   509: 2002120000 41229
   510: 0200220000 13770
   511: 2002210000 41391
   512: 2002220000 41472
   513: 0020100000 4617
   514: 0201001000 13878
   515: 0201002000 13905
   516: 0201010000 13932
   517: 2010110000 41877
   518: 2010120000 41958
   519: 0201020000 14013
   520: 2010210000 42120
   521: 2010220000 42201
   522: 0201100000 14094
   523: 2011010000 42363
   524: 2011020000 42444
   525: 2011100000 42525
   526: 0111100002 9722
   527: 0111200002 9965
   528: 2011200000 42768
   529: 0112100002 10451
   530: 0112200002 10694
   531: 0201200000 14337
   532: 2012010000 43092
   533: 2012020000 43173
   534: 2012100000 43254
   535: 0121100002 11909
   536: 0121200002 12152
   537: 2012200000 43497
   538: 0122100002 12638
   539: 0122200002 12881
   540: 0020200000 4860
   541: 0202001000 14607
   542: 0202002000 14634
   543: 0202010000 14661
   544: 2020110000 44064
   545: 2020120000 44145
   546: 0202020000 14742
   547: 2020210000 44307
   548: 2020220000 44388
   549: 0202100000 14823
   550: 2021010000 44550
   551: 2021020000 44631
   552: 2021100000 44712
   553: 0211100002 16283
   554: 0211200002 16526
   555: 2021200000 44955
   556: 0212100002 17012
   557: 0212200002 17255
   558: 0202200000 15066
   559: 2022010000 45279
   560: 2022020000 45360
   561: 2022100000 45441
   562: 0221100002 18470
   563: 0221200002 18713
   564: 2022200000 45684
   565: 0222100002 19199
   566: 0222200002 19442
   567: 0021000000 5103
   568: 0210001000 15336
   569: 0210002000 15363
   570: 0210010000 15390
   571: 2100110000 46251
   572: 2100120000 46332
   573: 0210020000 15471
   574: 2100210000 46494
   575: 2100220000 46575
   576: 0210100000 15552
   577: 2101010000 46737
   578: 2101020000 46818
   579: 2101100000 46899
   580: 1011100002 22844
   581: 1011200002 23087
   582: 2101200000 47142
   583: 1012100002 23573
   584: 1012200002 23816
   585: 0210200000 15795
   586: 2102010000 47466
   587: 2102020000 47547
   588: 2102100000 47628
   589: 1021100002 25031
   590: 1021200002 25274
   591: 2102200000 47871
   592: 1022100002 25760
   593: 1022200002 26003
   594: 0211000000 16038
   595: 2110010000 48195
   596: 2110020000 48276
   597: 2110100000 48357
   598: 1101100002 27218
   599: 1101200002 27461
   600: 2110200000 48600
   601: 1102100002 27947
   602: 1102200002 28190
   603: 2111000000 48843
   604: 1110100002 28676
   605: 1110200002 28919
   606: 1111000002 29162
   607: 1111000021 29167
   608: 1112000021 29896
   609: 1112000002 29891
   610: 1121000021 31354
   611: 1122000021 32083
   612: 2112000000 49572
   613: 1120100002 30863
   614: 1120200002 31106
   615: 1121000002 31349
   616: 1211000021 35728
   617: 1212000021 36457
   618: 1122000002 32078
   619: 1221000021 37915
   620: 1222000021 38644
   621: 0212000000 16767
   622: 2120010000 50382
   623: 2120020000 50463
   624: 2120100000 50544
   625: 1201100002 33779
   626: 1201200002 34022
   627: 2120200000 50787
   628: 1202100002 34508
   629: 1202200002 34751
   630: 2121000000 51030
   631: 1210100002 35237
   632: 1210200002 35480
   633: 1211000002 35723
   634: 2111000021 48850
   635: 2112000021 49579
   636: 1212000002 36452
   637: 2121000021 51037
   638: 2122000021 51766
   639: 2122000000 51759
   640: 1220100002 37424
   641: 1220200002 37667
   642: 1221000002 37910
   643: 2211000021 55411
   644: 2212000021 56140
   645: 1222000002 38639
   646: 2221000021 57598
   647: 2222000021 58327
   648: 0022000000 5832
   649: 0220001000 17523
   650: 0220002000 17550
   651: 0220010000 17577
   652: 2200110000 52812
   653: 2200120000 52893
   654: 0220020000 17658
   655: 2200210000 53055
   656: 2200220000 53136
   657: 0220100000 17739
   658: 2201010000 53298
   659: 2201020000 53379
   660: 2201100000 53460
   661: 2011100002 42527
   662: 2011200002 42770
   663: 2201200000 53703
   664: 2012100002 43256
   665: 2012200002 43499
   666: 0220200000 17982
   667: 2202010000 54027
   668: 2202020000 54108
   669: 2202100000 54189
   670: 2021100002 44714
   671: 2021200002 44957
   672: 2202200000 54432
   673: 2022100002 45443
   674: 2022200002 45686
   675: 0221000000 18225
   676: 2210010000 54756
   677: 2210020000 54837
   678: 2210100000 54918
   679: 2101100002 46901
   680: 2101200002 47144
   681: 2210200000 55161
   682: 2102100002 47630
   683: 2102200002 47873
   684: 2211000000 55404
   685: 2110100002 48359
   686: 2110200002 48602
   687: 2111000002 48845
   688: 1111000022 29168
   689: 1112000022 29897
   690: 2112000002 49574
   691: 1121000022 31355
   692: 1122000022 32084
   693: 2212000000 56133
   694: 2120100002 50546
   695: 2120200002 50789
   696: 2121000002 51032
   697: 1211000022 35729
   698: 1212000022 36458
   699: 2122000002 51761
   700: 1221000022 37916
   701: 1222000022 38645
   702: 0222000000 18954
   703: 2220010000 56943
   704: 2220020000 57024
   705: 2220100000 57105
   706: 2201100002 53462
   707: 2201200002 53705
   708: 2220200000 57348
   709: 2202100002 54191
   710: 2202200002 54434
   711: 2221000000 57591
   712: 2210100002 54920
   713: 2210200002 55163
   714: 2211000002 55406
   715: 2111000022 48851
   716: 2112000022 49580
   717: 2212000002 56135
   718: 2121000022 51038
   719: 2122000022 51767
   720: 2222000000 58320
   721: 2220100002 57107
   722: 2220200002 57350
   723: 2221000002 57593
   724: 2211000022 55412
   725: 2212000022 56141
   726: 2222000002 58322
   727: 2221000022 57599
   728: 2222000022 58328
   729: 0010000000 2187
   730: 0100000100 6570
   731: 0100000200 6579
   732: 0100001000 6588
   733: 1000011000 19791
   734: 1000012000 19818
   735: 0100002000 6615
   736: 1000021000 19872
   737: 1000022000 19899
   738: 0100010000 6642
   739: 1000101000 19953
   740: 1000102000 19980
   741: 1000110000 20007
   742: 0001110001 1054
   743: 0001120001 1135
   744: 1000120000 20088
   745: 0001210001 1297
   746: 0001220001 1378
   747: 0100020000 6723
   748: 1000201000 20196
   749: 1000202000 20223
   750: 1000210000 20250
   751: 0002110001 1783
   752: 0002120001 1864
   753: 1000220000 20331
   754: 0002210001 2026
   755: 0002220001 2107
   756: 0100100000 6804
   757: 1001001000 20439
   758: 1001002000 20466
   759: 1001010000 20493
   760: 0010110001 2512
   761: 0010120001 2593
   762: 1001020000 20574
   763: 0010210001 2755
   764: 0010220001 2836
   765: 1001100000 20655
   766: 0011010001 2998
   767: 0011020001 3079
   768: 0011100001 3160
   769: 0111100010 9723
   770: 0111200010 9966
   771: 0011200001 3403
   772: 0112100010 10452
   773: 0112200010 10695
   774: 1001200000 20898
   775: 0012010001 3727
   776: 0012020001 3808
   777: 0012100001 3889
   778: 0121100010 11910
   779: 0121200010 12153
   780: 0012200001 4132
   781: 0122100010 12639
   782: 0122200010 12882
   783: 0100200000 7047
   784: 1002001000 21168
   785: 1002002000 21195
   786: 1002010000 21222
   787: 0020110001 4699
   788: 0020120001 4780
   789: 1002020000 21303
   790: 0020210001 4942
   791: 0020220001 5023
   792: 1002100000 21384
   793: 0021010001 5185
   794: 0021020001 5266
   795: 0021100001 5347
   796: 0211100010 16284
   797: 0211200010 16527
   798: 0021200001 5590
   799: 0212100010 17013
   800: 0212200010 17256
   801: 1002200000 21627
   802: 0022010001 5914
   803: 0022020001 5995
   804: 0022100001 6076
   805: 0221100010 18471
   806: 0221200010 18714
   807: 0022200001 6319
   808: 0222100010 19200
   809: 0222200010 19443
   810: 0101000000 7290
   811: 1010001000 21897
   812: 1010002000 21924
   813: 1010010000 21951
   814: 0100110001 6886
   815: 0100120001 6967
   816: 1010020000 22032
   817: 0100210001 7129
   818: 0100220001 7210
   819: 1010100000 22113
   820: 0101010001 7372
   821: 0101020001 7453
   822: 0101100001 7534
   823: 1011100010 22845
   824: 1011200010 23088
