N_GEN, N_RUN, PM, PC, CrossOver
500,1,0.025,0.5,Double
500,1,0.05,0.5,Double
500,1,0.1,0.5,Double
500,1,0.2,0.5,Double
500,1,0.3,0.5,Double
500,1,0.4,0.5,Double
500,1,0.5,0.5,Double
500,1,0.025,0.4,Double
500,1,0.05,0.4,Double
500,1,0.1,0.4,Double
500,1,0.2,0.4,Double
500,1,0.3,0.4,Double
500,1,0.4,0.4,Double
500,1,0.5,0.4,Double
500,1,0.025,0.3,Double
500,1,0.05,0.3,Double
500,1,0.1,0.3,Double
500,1,0.2,0.3,Double
500,1,0.3,0.3,Double
500,1,0.4,0.3,Double
500,1,0.5,0.3,Double
500,1,0.025,0.2,Double
500,1,0.05,0.2,Double
500,1,0.1,0.2,Double
500,1,0.2,0.2,Double
500,1,0.3,0.2,Double
500,1,0.4,0.2,Double
500,1,0.5,0.2,Double
500,1,0.025,0.1,Double
500,1,0.05,0.1,Double
500,1,0.1,0.1,Double
500,1,0.2,0.1,Double
500,1,0.3,0.1,Double
500,1,0.4,0.1,Double
500,1,0.5,0.1,Double
500,1,0.025,0.5,Single
500,1,0.05,0.5,Single
500,1,0.1,0.5,Single
500,1,0.2,0.5,Single
500,1,0.3,0.5,Single
500,1,0.4,0.5,Single
500,1,0.5,0.5,Single
500,1,0.025,0.4,Single
500,1,0.05,0.4,Single
500,1,0.1,0.4,Single
500,1,0.2,0.4,Single
500,1,0.3,0.4,Single
500,1,0.4,0.4,Single
500,1,0.5,0.4,Single
500,1,0.025,0.3,Single
500,1,0.05,0.3,Single
500,1,0.1,0.3,Single
500,1,0.2,0.3,Single
500,1,0.3,0.3,Single
500,1,0.4,0.3,Single
500,1,0.5,0.3,Single
500,1,0.025,0.2,Single
500,1,0.05,0.2,Single
500,1,0.1,0.2,Single
500,1,0.2,0.2,Single
500,1,0.3,0.2,Single
500,1,0.4,0.2,Single
500,1,0.5,0.2,Single
500,1,0.025,0.1,Single
500,1,0.05,0.1,Single
500,1,0.1,0.1,Single
500,1,0.2,0.1,Single
500,1,0.3,0.1,Single
500,1,0.4,0.1,Single
500,1,0.5,0.1,Single
