N_GEN, N_RUN, PM, PC, CrossOver
300,1,0.1,0.1,Double
300,1,0.1,0.2,Double
300,1,0.1,0.3,Double
300,1,0.1,0.4,Double
300,1,0.1,0.5,Double
300,1,0.1,0.6,Double
300,1,0.2,0.1,Double
300,1,0.2,0.2,Double
300,1,0.2,0.3,Double
300,1,0.2,0.4,Double
300,1,0.2,0.5,Double
300,1,0.2,0.6,Double
300,1,0.3,0.1,Double
300,1,0.3,0.2,Double
300,1,0.3,0.3,Double
300,1,0.3,0.4,Double
300,1,0.3,0.5,Double
300,1,0.3,0.6,Double
300,1,0.4,0.1,Double
300,1,0.4,0.2,Double
300,1,0.4,0.3,Double
300,1,0.4,0.4,Double
300,1,0.4,0.5,Double
300,1,0.4,0.6,Double
300,1,0.5,0.1,Double
300,1,0.5,0.2,Double
300,1,0.5,0.3,Double
300,1,0.5,0.4,Double
300,1,0.5,0.5,Double
300,1,0.5,0.6,Double
300,1,0.6,0.1,Double
300,1,0.6,0.2,Double
300,1,0.6,0.3,Double
300,1,0.6,0.4,Double
300,1,0.6,0.5,Double
300,1,0.6,0.6,Double
300,1,0.1,0.1,Single
300,1,0.1,0.2,Single
300,1,0.1,0.3,Single
300,1,0.1,0.4,Single
300,1,0.1,0.5,Single
300,1,0.1,0.6,Single
300,1,0.2,0.1,Single
300,1,0.2,0.2,Single
300,1,0.2,0.3,Single
300,1,0.2,0.4,Single
300,1,0.2,0.5,Single
300,1,0.2,0.6,Single
300,1,0.3,0.1,Single
300,1,0.3,0.2,Single
300,1,0.3,0.3,Single
300,1,0.3,0.4,Single
300,1,0.3,0.5,Single
300,1,0.3,0.6,Single
300,1,0.4,0.1,Single
300,1,0.4,0.2,Single
300,1,0.4,0.3,Single
300,1,0.4,0.4,Single
300,1,0.4,0.5,Single
300,1,0.4,0.6,Single
300,1,0.5,0.1,Single
300,1,0.5,0.2,Single
300,1,0.5,0.3,Single
300,1,0.5,0.4,Single
300,1,0.5,0.5,Single
300,1,0.5,0.6,Single
300,1,0.6,0.1,Single
300,1,0.6,0.2,Single
300,1,0.6,0.3,Single
300,1,0.6,0.4,Single
300,1,0.6,0.5,Single
300,1,0.6,0.6,Single
